speaker,num_questions,av_num_words,objection_ratio,strike_ratio,filename
MR. TIMONEY,8,13.75,0.0,0.0,08-09_Alba_Vidal.csv
MS. NOSARI,438,13.02283105022831,0.0228310502283105,0.0045662100456621,08-09_Alba_Vidal.csv
MR. TIMONEY,3,20.333333333333332,0.0,0.0,08-09_Telesforo_Camacho-Lopez.csv
MS. NOSARI,248,14.778225806451612,0.03225806451612903,0.0,08-09_Telesforo_Camacho-Lopez.csv
MR. CRANE,753,14.03718459495352,0.00398406374501992,0.0,08-14_Robert_Rudd.csv
MR. SHERIDAN,56,18.357142857142858,0.017857142857142856,0.0,08-14_Robert_Rudd.csv
MS. KRENICKY,471,11.157112526539278,0.012738853503184714,0.004246284501061571,08-15_Carla_Brietman.csv
MR. GALLAGHER,178,18.252808988764045,0.028089887640449437,0.0,08-15_Harry_Orner.csv
MR. SWENSON,4,24.25,0.25,0.0,08-16-19_Chris_McGrath_-_Cerneka_vs_Santa_Monica_Props.csv
MS. BACON,464,12.241379310344827,0.05818965517241379,0.004310344827586207,08-16-19_Chris_McGrath_-_Cerneka_vs_Santa_Monica_Props.csv
MR. BAER,116,13.887931034482758,0.02586206896551724,0.0,08-16_Amy_Belz.csv
MR. SILLI,6,9.5,0.0,0.0,08-16_Amy_Belz.csv
MS. HUDACK,144,8.465277777777779,0.0,0.0,08-19_Francis_Stubbs.csv
MS. BARBETTA,425,15.988235294117647,0.03294117647058824,0.0,08-20_Sherrilyn_Hensley.csv
MR. GORODETZER,176,12.8125,0.022727272727272728,0.0,08-20_Tyler_Labus.csv
MS. BILARDO,128,16.96875,0.0234375,0.0,08-23_Tracey_Proietto.csv
MS. ETTL,479,13.728601252609604,0.016701461377870562,0.0,08-27_Francis_Switken.csv
MR. LAVIN,65,15.507692307692308,0.015384615384615385,0.0,08-29-2019_1520_Thursday.csv
MR. SPEZIALI,97,19.103092783505154,0.0,0.010309278350515464,08-29-2019_1520_Thursday.csv
MR. CUMMINS,115,9.652173913043478,0.008695652173913044,0.0,081419L.csv
MR. TROZZOLILLO,298,12.694630872483222,0.05704697986577181,0.0,081419L.csv
MR. INSCHO,768,13.712239583333334,0.07552083333333333,0.009114583333333334,081419SG.csv
MR. INSHCO,2,13.5,0.5,0.0,081419SG.csv
MR. FOLEY,163,22.742331288343557,0.0,0.0,081519A-dc.csv
MS. HENKLE,103,14.233009708737864,0.0,0.0,081519A-dc.csv
MS. HINKLE,11,13.909090909090908,0.0,0.0,081519A-dc.csv
MR. FLAHERTY,71,13.366197183098592,0.028169014084507043,0.0,081519_derek_thomas.csv
MR. OLSZEWSKI,52,22.48076923076923,0.0,0.0,081519_derek_thomas.csv
MR. SPEZIALI,16,56.375,0.0625,0.0,082119drhoward.csv
MS. MCMORRIS,78,22.78205128205128,0.02564102564102564,0.01282051282051282,082119drhoward.csv
MR. MCINNIS,620,9.480645161290322,0.02903225806451613,0.0,082119duke.csv
MS. ALVES,301,13.578073089700997,0.13953488372093023,0.0,082119duke.csv
MR. CROKE,1212,15.924092409240924,0.1443894389438944,0.0024752475247524753,082319.csv
MR. BUCKLEY,422,12.09952606635071,0.002369668246445498,0.0,082319MDavidson(1).csv
MS. BOUCHER,28,9.178571428571429,0.0,0.0,082319MDavidson(1).csv
MR. KELLY,106,11.11320754716981,0.0,0.0,082619_JAMES_GRAY.csv
MS. KATHOPOULIS,34,12.235294117647058,0.0,0.0,082619_JAMES_GRAY.csv
MS. SCHWEIKERT,144,12.979166666666666,0.05555555555555555,0.0,082619_NGUYEN.csv
MS. KATHOPOULIS,32,9.9375,0.0,0.0,082619_TIEN_PHAM.csv
MS. SCHWEIKERT,251,9.812749003984063,0.0,0.0,082619_TIEN_PHAM.csv
MS. KATHOPOULIS,80,11.4375,0.025,0.0,082619_TIEN_VU.csv
MS. SCHWEIKERT,175,13.308571428571428,0.04,0.0,082619_TIEN_VU.csv
MR. FROEHLICH,651,13.998463901689709,0.016897081413210446,0.0,082719AC.csv
MR. SCATENA,14,18.785714285714285,0.07142857142857142,0.0,082719AC.csv
MR. KAPLAN,93,16.29032258064516,0.0,0.0,082719_BRANDON_CHESNEY.csv
MR. MANARA,335,11.086567164179105,0.1701492537313433,0.0,082719_JASMINE_CHOUR.csv
MR. MILLER,339,17.86725663716814,0.10029498525073746,0.0,082819TimothyJenningsMD-Lexitas.csv
MR. MCCARTHY,524,10.48473282442748,0.009541984732824428,0.0,082819_LE_2019-71488_Killion.csv
MR. MANARA,576,10.131944444444445,0.005208333333333333,0.0,082919CC.csv
MR. RONG,55,20.036363636363635,0.01818181818181818,0.0,082919_DR_YARUS1.csv
MS. MCCARTHY,117,14.145299145299145,0.02564102564102564,0.0,082919_DR_YARUS1.csv
MS. ZALKA,1030,17.741747572815534,0.1679611650485437,0.006796116504854369,09-11-19_C._Dayton.csv
MR. DALY,225,8.422222222222222,0.03111111111111111,0.0,090319_JAMES_HUNTER.csv
MS. FRASCELLA,432,9.143518518518519,0.016203703703703703,0.0,090319_JESSICA_MENDEZ.csv
MR. ARNER,248,10.193548387096774,0.016129032258064516,0.0,090319_KHAALIQ_BRANCH.csv
MS. KOSCIELNIAK,566,10.906360424028268,0.0035335689045936395,0.0,090419_AMINATA_WELCOME(1).csv
MR. LEVY,233,10.927038626609441,0.034334763948497854,0.0,090419_YUE_CHAN_LIN(1).csv
MS. GARBER,14,21.5,0.0,0.0,090519_RICE.csv
MS. SEREDA,301,11.950166112956811,0.016611295681063124,0.0,090519_RICE.csv
MS. SEREDA,234,11.7991452991453,0.0,0.0,09051_GILDA_THOMAS.csv
MR. HUTTEMANN,121,10.578512396694215,0.0,0.0,090619_CHERYL_VISCONI.csv
MS. GRANT,124,14.64516129032258,0.008064516129032258,0.0,090619_CHERYL_VISCONI.csv
MR. SAMMI,6,12.166666666666666,0.3333333333333333,0.0,19-0813_Kelly_Boyle_Volume_2(1).csv
MR. SIMONS,973,15.430626927029804,0.08530318602261049,0.0,19-0813_Kelly_Boyle_Volume_2(1).csv
MR. SAMMI,6,12.166666666666666,0.3333333333333333,0.0,19-0813_Kelly_Boyle_Volume_2.csv
MR. SIMONS,973,15.386433710174718,0.0842754367934224,0.0,19-0813_Kelly_Boyle_Volume_2.csv
MR. BORSUK,94,15.51063829787234,0.0,0.0,2019-74224.csv
MS. CORBETT,82,16.353658536585368,0.0,0.0,2019-74224.csv
MR. FLAHERTY,80,19.85,0.0,0.0,2019-74498.csv
MR. LANG,231,17.354978354978353,0.030303030303030304,0.0,2019-74498.csv
MR. COYNE,74,14.337837837837839,0.0,0.0,2019-74700.csv
MR. FOTI,9,21.333333333333332,0.1111111111111111,0.0,2019-74700.csv
MR. ROBINSON,1006,17.687872763419485,0.02584493041749503,0.0009940357852882703,2019-74700.csv
MR. ADAMS,731,16.848153214774282,0.012311901504787962,0.0,2019-74913.csv
MR. TRETTER,29,16.586206896551722,0.06896551724137931,0.034482758620689655,2019-74913.csv
MS. CORBETT,108,14.027777777777779,0.10185185185185185,0.009259259259259259,2019-75052.csv
MR. FLYNN,94,16.79787234042553,0.05319148936170213,0.010638297872340425,2019-75111.csv
MS. GROSS,73,15.821917808219178,0.0958904109589041,0.0136986301369863,2019-75111.csv
"ADAM MARTIN, ESQ",214,22.83177570093458,0.0794392523364486,0.037383177570093455,2019-75199_--_Moline.csv
"JOHN EGAN, ESQ",48,29.0625,0.0,0.0,2019-75199_--_Moline.csv
"MICHAEL JOYCE, ESQ",2,43.5,0.0,0.0,2019-75199_--_Moline.csv
MR. RANDY BARON,154,29.24025974025974,0.05194805194805195,0.0,2019-75313_-_Buffett.csv
MR. ROBERT BARON,15,32.0,0.13333333333333333,0.0,2019-75313_-_Buffett.csv
MR. ATWOOD,107,12.878504672897197,0.009345794392523364,0.0,2019-75313_-_Combs.csv
MR. ROBERT BARON,19,17.842105263157894,0.0,0.0,2019-75313_-_Combs.csv
MR. HELLER,389,22.22107969151671,0.017994858611825194,0.005141388174807198,2019-75933.csv
MS. BARRON,76,15.381578947368421,0.02631578947368421,0.0,2019-75933.csv
MR. SCHOLER,562,14.97508896797153,0.005338078291814947,0.0,7.23.19_Robinson.csv
MR. SABATO,303,11.075907590759076,0.006600660066006601,0.0,7.26.19_Kenneth_Bateman.csv
MS. KRENICKY,437,10.558352402745996,0.004576659038901602,0.002288329519450801,7.29.19_Maya_Nelson.csv
MR. LINN,205,14.478048780487805,0.03902439024390244,0.0,7.29.19_Nelson_v._Lopez.csv
MS. WELCH,519,12.177263969171484,0.005780346820809248,0.0,7.30.19_Kelsey_Peloza.csv
MR. BOSLER,16,19.0625,0.0,0.0,77571LGreen081919.csv
MR. HUFFT,143,14.545454545454545,0.0,0.0,77571LGreen081919.csv
MR. ELLERBE,94,18.361702127659573,0.1702127659574468,0.07446808510638298,8-20-19-B-TS.csv
MR. ROBINSON,4,20.75,0.25,0.0,8-20-19-B-TS.csv
MR. ELLERBE,94,18.361702127659573,0.1702127659574468,0.07446808510638298,8-20-19-B.csv
MR. ROBINSON,4,20.75,0.25,0.0,8-20-19-B.csv
MR. HESS,13,14.846153846153847,0.0,0.0,8-20-19-LEXITAS-2ND-WITNESS.csv
MR. LAVIN,268,12.272388059701493,0.007462686567164179,0.0,8-20-19-LEXITAS-2ND-WITNESS.csv
MR. HESS,138,15.572463768115941,0.021739130434782608,0.0,8-20-19-LEXITAS.csv
MR. ELLERBE,298,15.023489932885907,0.1610738255033557,0.03691275167785235,8-20-19-TS.csv
MR. ROBINSON,66,17.96969696969697,0.030303030303030304,0.0,8-20-19-TS.csv
MR. ELLERBE,298,14.983221476510067,0.15436241610738255,0.03691275167785235,8-20-19.csv
MR. ROBINSON,66,17.96969696969697,0.030303030303030304,0.0,8-20-19.csv
MS. FRARE,336,9.342261904761905,0.002976190476190476,0.0,8-20-19_Benjamin_Jones.csv
MS. KOSCIELNIAK,462,11.333333333333334,0.025974025974025976,0.0,8-28-19-LEX-2nd-WITNESS.csv
MR. GOODSTADT,122,13.647540983606557,0.02459016393442623,0.0,8-28-19-LEXITAS.csv
MS. KOSCIELNIAK,9,12.333333333333334,0.2222222222222222,0.0,8-28-19-LEXITAS.csv
MR. SCHLAGNHAUFER,363,10.071625344352617,0.01928374655647383,0.0,81919_Alona_Shchogol.csv
MR. MASTROGIOVANNI,496,14.340725806451612,0.06854838709677419,0.0020161290322580645,"81919_Michael_Colucciello,_MD.csv"
MR. PATTERSON,419,21.513126491646776,0.13365155131264916,0.0,"81919_Michael_Colucciello,_MD.csv"
MR. WEINBERG,93,13.301075268817204,0.010752688172043012,0.0,81919__Kelly_ODonnell.csv
MR. HILL,9,16.22222222222222,0.1111111111111111,0.0,82019_Bob_Duton.csv
MR. NOCHO,325,13.547692307692307,0.003076923076923077,0.0,82019_Bob_Duton.csv
MR. BLUM,128,19.8046875,0.0078125,0.0,82719_Michael_VanderMaten.csv
MR. SLATTERY,4,20.25,0.0,0.0,82719_Michael_VanderMaten.csv
MR. DAVIS,62,12.096774193548388,0.016129032258064516,0.016129032258064516,82819_Sicilia_Saimesier(1).csv
MR. MILEWSKI,52,9.115384615384615,0.0,0.0,82819_Sicilia_Saimesier(1).csv
MR. DAVIS,62,12.096774193548388,0.016129032258064516,0.016129032258064516,82819_Sicilia_Saimesier.csv
MR. MILEWSKI,52,9.115384615384615,0.0,0.0,82819_Sicilia_Saimesier.csv
MR. BUCILLA,74,17.33783783783784,0.0,0.0,9-4-19-LEXITAS.csv
MR. KENNY,66,17.651515151515152,0.015151515151515152,0.0,9-4-19-LEXITAS.csv
MR. KOLKER,1,21.0,0.0,0.0,90815fec(1).csv
MS. KYLIS,287,20.18815331010453,0.003484320557491289,0.0,90815fec(1).csv
MS. KYLIS,234,19.26923076923077,0.008547008547008548,0.0,90828lip.csv
MS. ALEXANDER,1278,11.935837245696401,0.02034428794992175,0.0,90906mur(1).csv
MR. SHUEY,93,16.881720430107528,0.0,0.0,9319_Dr_Gene_Levinstein.csv
MS. STURGES,52,22.096153846153847,0.038461538461538464,0.0,9319_Dr_Gene_Levinstein.csv
MR. BAER,107,15.36448598130841,0.04672897196261682,0.0,9419_Dr_Stepanuk.csv
MR. SMITH,130,16.00769230769231,0.023076923076923078,0.0,9419_Dr_Stepanuk.csv
MS. FRARE,390,9.948717948717949,0.007692307692307693,0.0,Ahmetovic_v._Kelly_-_3-11-19_-_Ahmetovic.csv
MR. BICKHAM,25,23.56,0.52,0.0,Arredondo_-_Juan_-_8-19-19_-_FINAL.csv
MR. NEWTON,864,11.729166666666666,0.04050925925925926,0.0023148148148148147,Arredondo_-_Juan_-_8-19-19_-_FINAL.csv
MR. NEWTON,818,13.528117359413203,0.04645476772616137,0.0012224938875305623,Arredondo_-_Martin_-_8-19-19_-_FINAL.csv
MR. BENEVIDES,234,13.307692307692308,0.021367521367521368,0.004273504273504274,Aug15H_M_1.csv
MR. RAMSDELL,103,13.54368932038835,0.019417475728155338,0.0,Aug15H_M_1.csv
MS. CLOUTIER,90,15.777777777777779,0.0,0.011111111111111112,Aug15H_M_1.csv
MS. SCALISI,5,17.6,0.0,0.0,Aug15H_M_1.csv
MR. ARCHINACO,1372,21.000728862973762,0.07361516034985423,0.03498542274052478,BBertke.csv
MR. WIENCEK,198,13.393939393939394,0.16161616161616163,0.0,BBertke.csv
MR. POOLE,13,14.692307692307692,0.0,0.0,c090419_epp(1).csv
MS. HELLER,487,10.956878850102669,0.028747433264887063,0.0,c090419_epp(1).csv
MS. NURSE-GOODISON,11,18.636363636363637,0.09090909090909091,0.0,c090419_epp(1).csv
MR. BLUM,98,15.193877551020408,0.0,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-19-19_-_Clemens_-_FINAL.csv
MR. DIVIS,8,16.125,0.0,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-19-19_-_Clemens_-_FINAL.csv
MR. BLUM,126,14.119047619047619,0.0,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-19-19_-_Reiff_-_FINAL.csv
MR. DIVIS,1,11.0,0.0,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-19-19_-_Reiff_-_FINAL.csv
MR. BLUM,609,15.817733990147783,0.006568144499178982,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-20-19_-_Clemens_-_FINAL.csv
MR. DIVIS,51,19.745098039215687,0.0196078431372549,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-20-19_-_Clemens_-_FINAL.csv
MR. SLATTERY,1,34.0,0.0,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-20-19_-_Clemens_-_FINAL.csv
